city start,city end,rail time distance (min),route time distance by car (min),
Madrid,Lisboa,10:30,5:39,
Madrid,Santiago de Compostela,5:10,5:28,
Madrid,Santander,4:30,4:15,
Madrid,Pamplona,3:00,3:59,
Madrid,Barcelona,2:30,5:48,
Madrid,Valencia,1:40,3:28,
Madrid,Sevilla,2:20,4:45,
Madrid,Málaga,2:25,5:11,
Madrid,Granada,3:15,4:01,
Barcelona,Sevilla,5:30,9:20,
Barcelona,Valencia,3:10,3:33,
Madrid,Hendaye,6:20,4:50,
Hendaye,Bordeaux,2:40,2:21,
Barcelona,Montpellier,3:00,3:40,
Barcelona,Paris,6:30,10:08,
Paris,Bordeaux,3:15,5:49,
Paris,Rennes,2:10,3:27,
Paris,London,2:50,5:41,
Paris,Bruxelles,1:25,3:28,
Paris,Lyon,1:55,4:32,
Paris,Frankfurt,3:55,5:28,
Paris,Basel,3:05,5:21,
Bruxelles,London,2:35,5:17,
Lyon,Bordeaux,6:15,5:22,
Lyon,Bern,3:05,3:15,
Lyon,Marseille,1:40,3:10,
Marseille,Montpellier,1:55,1:57,
Marseille,Nice,2:35,2:11,
London,Penzance,5:05,5:44,
London,Bristol,1:45,2:29,
London,Birmingham,1:25,4:02,
London,York,1:50,2:34,
Birmingham,Holyhead,3:50,3:07,
Birmingham,Glasgow,4:00,4:51,
York,Edingburgh,2:35,4:01,
Birmingham,Edingburgh,4:25,5:24,
Glasgow,Edingburgh,0:50,1:10,
Edingburgh,Aberdeen,2:20,2:34,
Dublin,Westport,3:10,3:13,
Dublin,Cork,2:45,2:55,
Dublin,Belfast,2:10,1:56,
Bruxelles,Amsterdam,1:50,2:23,
Bruxelles,Köln,1:50,2:17,
Bruxelles,Frankfurt,3:10,3:59,
Basel,Frankfurt,3:55,3:28,
Bern,Basel,0:56,1:18,
Bern,Milano,3:30,4:34,
Bern,Zürich,0:59,1:37,
Nice,Genova,4:55,2:31,
Milano,Genova,1:50,1:54,
Rome,Genova,4:05,5:06,
Frankfurt,Köln,1:05,2:04,
Frankfurt,Hamburg,3:40,5:05,
Frankfurt,Berlin,3:55,5:33,
Frankfurt,München,3:20,3:57,
Zürich,München,4:10,3:19,
Köln,Amsterdam,2:38,2:56,
Köln,Berlin,4:20,5:31,
Amsterdam,Berlin,6:10,6:17,
Amsterdam,Hamburg,5:15,4:22,
Zürich,Milano,3:47,3:39,
Zürich,Wien,7:50,7:06,
Milano,München,7:30,4:43,
Milano,Bologna,2:15,2:29,
Milano,Venezia,2:35,2:54,
Hendaye,Lisboa,13:30,8:43,
Lisboa,Porto,2:40,2:51,
Lisboa,Faro,3:00,2:35,
Vigo,Proto,2:20,1:34,
Vigo,Santiago de Compostela,1:30,1:00,
Hamburg,Berlin,1:40,3:08,
Hamburg,Frankfurt,6:00,4:52,
Hamburg,Aarhus,4:25,3:20,
Hamburg,Koppenhague,4:40,4:34,
München,Berlin,4:30,5:38,
München,Prague,6:00,3:45,
München,Wien,4:00,4:12,
München,Venezia,8:40,5:33,
Venezia,Bologna,1:25,1:47,
Firenze,Bologna,0:35,1:38,
Firenze,Rome,1:30,2:53,
Rome,Bari,4:00,4:25,
Bologna,Bari,5:20,6:19,
Rome,Napoli,1:05,2:18,
Napoli,Catania,7:30,7:30,
Wien,Venezia,7:40,5:56,
Venezia,Ljubljana,6:30,2:30,
Berlin,Prague,4:05,3:45,
Prague,Wien,4:00,3:17,
Ljubljana,Budapest,9:45,4:11,
Ljubljana,Zagreb,2:20,1:47,
Wien,Budapest,2:30,2:25,
Zagreb,Split,6:00,4:45,
Zagreb,Budapest,6:40,3:32,
Zagreb,Belgrade,6:20,3:57,
Prague,Budapest,6:45,4:56,
Budapest,Belgrade,8:05,3:45,
Prague,Katowice,5:20,4:15,
Wien,Katowice,4:28,3:51,
Berlin,Katowice,7:20,5:39,
Krakow,Katowice,1:25,0:58,
Warsawa,Katowice,2:10,3:15,
Warsawa,Krakow,2:10,3:11,
Krakow,Przemysl,3:10,2:25,
Warsawa,Berlin,5:15,5:29,
Warsawa,Gdansk,2:40,3:51,
Berlin,Gdansk,5:35,5:36,
Koppenhague,Stockholm,5:00,6:55,
Koppenhague,Oslo,7:30,6:25,
Oslo,Bergen,6:45,6:48,
Oslo,Trondheim,6:30,6:27,
Oslo,Stockholm,6:00,6:01,
Stockholm,Östersund,5:05,6:09,
Östersund,Trondheim,3:40,3:37,
Stockholm,Kiruna,16:15,13:51,
Trondheim,Bodo,9:30,9:26,
Helsinki,Rovaniemi,8:00,9:18,
Helsinki,Turku,2:00,1:52,
Tailinn,Narva,2:15,2:28,
Tailinn,Tartu,1:55,2:09,
Tartu,Valga,1:12,2:48,
Tailinn,Viljandi,1:55,1:48,
Valga,Riga,4:20,2:13,
Riga,Liepaja,1:07,2:43,
Riga,Daugavpils,3:20,2:51,
Vilnius,Klaipeda,4:00,3:01,
Vilnius,Kaunas,1:20,1:10,
Vilnius,Trakai,0:33,0:29,
Budapest,Bucharest,15:00,08:56,
Budapest,Craiova,12:00,07:14,
Bucharest,Craiova,3:15,3:05,
Sofia,Craiova,8:30,4:09,
Sofia,Belgrade,8:50,4:39,
Belgrade,Bar,8:20,8:04,
Belgrade,Skopje,9:50,04:29,
Thessaloniki,Sofia,7:20,3:37,
Thessaloniki,Skopje,5:00,2:52,
Thessaloniki,Athene,5:25,5:12,
Patras,Athene,4:10,2:17,
Istambul,Sofia,9:40,6:00,
Bucharest,Sofia,10:00,5:09,
Istambul,Bucharest,18:15,8:33,
Istambul,Eskisehir,2:30,3:29,
Eskisehir,Ankara,1:30,2:38,
Konya,Ankara,1:50,2:50,
